Year,Reporting Period,Eligibility Group,Number of Enrollees
2021,2021-06,Non-CMSPI,"1,118,171"
2021,2021-07,MAGI-Child,"2,870,523"
2021,2021-07,MAGI-Adult,"5,738,842"
2021,2021-07,Non-MAGI-Child,"909,911"
2021,2021-07,Non-MAGI-Adult,"2,163,528"
2021,2021-07,CHIP,"1,300,638"
2021,2021-07,Non-CMSPI,"1,124,157"
2021,2021-08,MAGI-Child,"2,898,075"
2021,2021-08,MAGI-Adult,"5,784,836"
2021,2021-08,Non-MAGI-Child,"903,216"
2021,2021-08,Non-MAGI-Adult,"2,168,397"
2021,2021-08,CHIP,"1,303,934"
2021,2021-08,Non-CMSPI,"1,132,934"
2021,2021-09,MAGI-Child,"2,911,988"
2021,2021-09,MAGI-Adult,"5,827,748"
2021,2021-09,Non-MAGI-Child,"900,882"
2021,2021-09,Non-MAGI-Adult,"2,174,739"
2021,2021-09,CHIP,"1,305,388"
2021,2021-09,Non-CMSPI,"1,143,781"
2021,2021-10,MAGI-Child,"2,916,117"
2021,2021-10,MAGI-Adult,"5,870,262"
2021,2021-10,Non-MAGI-Child,"901,263"
2021,2021-10,Non-MAGI-Adult,"2,181,076"
2021,2021-10,CHIP,"1,304,474"
2021,2021-10,Non-CMSPI,"1,151,032"
2021,2021-11,MAGI-Child,"2,921,282"
2021,2021-11,MAGI-Adult,"5,911,210"
2021,2021-11,Non-MAGI-Child,"903,128"
2021,2021-11,Non-MAGI-Adult,"2,187,128"
2021,2021-11,CHIP,"1,304,262"
2021,2021-11,Non-CMSPI,"1,160,631"
2021,2021-12,MAGI-Child,"2,929,571"
2021,2021-12,MAGI-Adult,"5,961,288"
2021,2021-12,Non-MAGI-Child,"904,335"
2021,2021-12,Non-MAGI-Adult,"2,192,237"
2021,2021-12,CHIP,"1,304,864"
2021,2021-12,Non-CMSPI,"1,171,106"
2022,2022-01,MAGI-Child,"2,940,490"
2022,2022-01,MAGI-Adult,"6,017,871"
2022,2022-01,Non-MAGI-Child,"905,612"
2022,2022-01,Non-MAGI-Adult,"2,198,735"
2022,2022-01,CHIP,"1,306,185"
2022,2022-01,Non-CMSPI,"1,178,213"
2022,2022-02,MAGI-Child,"2,946,584"
2022,2022-02,MAGI-Adult,"6,051,765"
2022,2022-02,Non-MAGI-Child,"909,529"
2022,2022-02,Non-MAGI-Adult,"2,200,099"
2022,2022-02,CHIP,"1,303,379"
2022,2022-02,Non-CMSPI,"1,173,828"
2022,2022-03,MAGI-Child,"2,961,270"
2022,2022-03,MAGI-Adult,"6,099,075"
2022,2022-03,Non-MAGI-Child,"912,814"
2022,2022-03,Non-MAGI-Adult,"2,205,668"
2022,2022-03,CHIP,"1,303,410"
2022,2022-03,Non-CMSPI,"1,179,858"
2022,2022-04,MAGI-Child,"2,970,110"
2022,2022-04,MAGI-Adult,"6,140,086"
2022,2022-04,Non-MAGI-Child,"914,260"
2022,2022-04,Non-MAGI-Adult,"2,210,924"
2022,2022-04,CHIP,"1,299,168"
2022,2022-04,Non-CMSPI,"1,172,197"
